lead_id,next_action,channel,priority_score
L0043,push_completion,call,11.0
L0050,push_completion,call,11.0
L0075,push_completion,call,11.0
L0070,push_completion,call,11.0
L0066,push_completion,call,11.0
L0100,push_completion,call,11.0
L0101,push_completion,call,11.0
L0113,push_completion,call,11.0
L0237,push_completion,call,11.0
L0231,push_completion,call,11.0
L0182,push_completion,call,11.0
L0192,push_completion,call,11.0
L0123,push_completion,call,11.0
L0180,push_completion,call,11.0
L0409,push_completion,call,11.0
L0435,push_completion,call,11.0
L0344,push_completion,call,11.0
L0485,push_completion,call,11.0
L0491,push_completion,call,11.0
L0494,push_completion,call,11.0
L0452,push_completion,call,11.0
L0392,push_completion,call,11.0
L0366,push_completion,call,11.0
L0285,push_completion,call,11.0
L0307,push_completion,call,11.0
L0352,push_completion,call,11.0
L0133,push_completion,call,9.0
L0122,push_completion,call,9.0
L0142,push_completion,call,9.0
L0311,push_completion,call,9.0
L0291,push_completion,call,9.0
L0315,push_completion,call,9.0
L0339,push_completion,call,9.0
L0130,push_completion,call,9.0
L0229,push_completion,call,9.0
L0360,push_completion,call,9.0
L0408,push_completion,call,9.0
L0439,push_completion,call,9.0
L0458,push_completion,call,9.0
L0448,push_completion,call,9.0
L0477,push_completion,call,9.0
L0433,push_completion,call,9.0
L0430,push_completion,call,9.0
L0422,push_completion,call,9.0
L0380,push_completion,call,9.0
L0029,push_completion,call,9.0
L0055,push_completion,call,9.0
L0245,push_completion,call,9.0
L0087,push_completion,call,9.0
L0249,push_completion,call,9.0
L0181,push_completion,call,9.0
L0175,counsellor_followup,call,8.0
L0079,counsellor_followup,call,8.0
L0161,counsellor_followup,call,8.0
L0244,counsellor_followup,call,8.0
L0241,counsellor_followup,call,8.0
L0183,counsellor_followup,call,8.0
L0118,counsellor_followup,call,8.0
L0083,counsellor_followup,call,8.0
L0046,counsellor_followup,call,8.0
L0008,counsellor_followup,call,8.0
L0499,counsellor_followup,call,8.0
L0486,counsellor_followup,call,8.0
L0444,counsellor_followup,call,8.0
L0460,counsellor_followup,call,8.0
L0402,counsellor_followup,call,8.0
L0396,counsellor_followup,call,8.0
L0423,counsellor_followup,call,8.0
L0442,counsellor_followup,call,8.0
L0330,counsellor_followup,call,8.0
L0328,counsellor_followup,call,8.0
L0323,counsellor_followup,call,8.0
L0325,counsellor_followup,call,8.0
L0362,counsellor_followup,call,8.0
L0371,counsellor_followup,call,8.0
L0257,counsellor_followup,call,8.0
L0275,counsellor_followup,call,8.0
L0127,counsellor_followup,call,8.0
L0177,counsellor_followup,call,8.0
L0298,counsellor_followup,call,8.0
L0277,counsellor_followup,call,8.0
L0032,counsellor_followup,call,8.0
L0023,counsellor_followup,call,8.0
L0071,counsellor_followup,call,8.0
L0092,counsellor_followup,call,8.0
L0272,counsellor_followup,call,8.0
L0274,counsellor_followup,call,8.0
L0450,soft_reengagement,whatsapp,7.0
L0167,soft_reengagement,whatsapp,7.0
L0059,counsellor_followup,call,6.0
L0054,counsellor_followup,call,6.0
L0012,counsellor_followup,call,6.0
L0205,counsellor_followup,call,6.0
L0373,counsellor_followup,call,6.0
L0345,counsellor_followup,call,6.0
L0321,counsellor_followup,call,6.0
L0336,counsellor_followup,call,6.0
L0143,counsellor_followup,call,6.0
L0156,counsellor_followup,call,6.0
L0218,counsellor_followup,call,6.0
L0226,counsellor_followup,call,6.0
L0124,counsellor_followup,call,6.0
L0125,counsellor_followup,call,6.0
L0014,counsellor_followup,call,6.0
L0015,counsellor_followup,call,6.0
L0081,counsellor_followup,call,6.0
L0088,counsellor_followup,call,6.0
L0105,counsellor_followup,call,6.0
L0256,counsellor_followup,call,6.0
L0266,counsellor_followup,call,6.0
L0410,counsellor_followup,call,6.0
L0393,counsellor_followup,call,6.0
L0404,counsellor_followup,call,6.0
L0250,counsellor_followup,call,6.0
L0252,counsellor_followup,call,6.0
L0254,counsellor_followup,call,6.0
L0295,counsellor_followup,call,6.0
L0420,counsellor_followup,call,6.0
L0447,counsellor_followup,call,6.0
L0478,counsellor_followup,call,6.0
L0496,counsellor_followup,call,6.0
L0217,soft_reengagement,whatsapp,5.0
L0172,soft_reengagement,whatsapp,5.0
L0173,soft_reengagement,whatsapp,5.0
L0098,soft_reengagement,whatsapp,5.0
