lead_id,action,channel,priority_score,status,timestamp
L0043,push_completion,call,11,missed,2026-01-28 01:24:41.433391
L0050,push_completion,call,11,missed,2026-01-28 01:24:41.434393
L0075,push_completion,call,11,missed,2026-01-28 01:24:41.434393
L0070,push_completion,call,11,missed,2026-01-28 01:24:41.434393
L0066,push_completion,call,11,missed,2026-01-28 01:24:41.434393
L0100,push_completion,call,11,answered,2026-01-28 01:24:41.434393
L0101,push_completion,call,11,missed,2026-01-28 01:24:41.435782
L0113,push_completion,call,11,missed,2026-01-28 01:24:41.435782
L0237,push_completion,call,11,answered,2026-01-28 01:24:41.435782
L0231,push_completion,call,11,answered,2026-01-28 01:24:41.435782
L0182,push_completion,call,11,answered,2026-01-28 01:24:41.436908
L0192,push_completion,call,11,missed,2026-01-28 01:24:41.436908
L0123,push_completion,call,11,answered,2026-01-28 01:24:41.436908
L0180,push_completion,call,11,answered,2026-01-28 01:24:41.436908
L0409,push_completion,call,11,answered,2026-01-28 01:24:41.438141
L0435,push_completion,call,11,missed,2026-01-28 01:24:41.438141
L0344,push_completion,call,11,missed,2026-01-28 01:24:41.439189
L0485,push_completion,call,11,answered,2026-01-28 01:24:41.440438
L0491,push_completion,call,11,answered,2026-01-28 01:24:41.440438
L0494,push_completion,call,11,missed,2026-01-28 01:24:41.440438
L0452,push_completion,call,11,missed,2026-01-28 01:24:41.441693
L0392,push_completion,call,11,missed,2026-01-28 01:24:41.441693
L0366,push_completion,call,11,missed,2026-01-28 01:24:41.441693
L0285,push_completion,call,11,answered,2026-01-28 01:24:41.442717
L0307,push_completion,call,11,answered,2026-01-28 01:24:41.442717
L0352,push_completion,call,11,missed,2026-01-28 01:24:41.442717
L0133,push_completion,call,9,missed,2026-01-28 01:24:41.444229
L0122,push_completion,call,9,missed,2026-01-28 01:24:41.444229
L0142,push_completion,call,9,answered,2026-01-28 01:24:41.445245
L0311,push_completion,call,9,answered,2026-01-28 01:24:41.445708
L0291,push_completion,call,9,answered,2026-01-28 01:24:41.445708
L0315,push_completion,call,9,answered,2026-01-28 01:24:41.446247
L0339,push_completion,call,9,answered,2026-01-28 01:24:41.446247
L0130,push_completion,call,9,missed,2026-01-28 01:24:41.446247
L0229,push_completion,call,9,answered,2026-01-28 01:24:41.446247
L0360,push_completion,call,9,answered,2026-01-28 01:24:41.447248
L0408,push_completion,call,9,answered,2026-01-28 01:24:41.447248
L0439,push_completion,call,9,missed,2026-01-28 01:24:41.447248
L0458,push_completion,call,9,missed,2026-01-28 01:24:41.447248
L0448,push_completion,call,9,answered,2026-01-28 01:24:41.452251
L0477,push_completion,call,9,answered,2026-01-28 01:24:41.452251
L0433,push_completion,call,9,missed,2026-01-28 01:24:41.452251
L0430,push_completion,call,9,missed,2026-01-28 01:24:41.453763
L0422,push_completion,call,9,answered,2026-01-28 01:24:41.454286
L0380,push_completion,call,9,missed,2026-01-28 01:24:41.454286
L0029,push_completion,call,9,missed,2026-01-28 01:24:41.455588
L0055,push_completion,call,9,missed,2026-01-28 01:24:41.455588
L0245,push_completion,call,9,answered,2026-01-28 01:24:41.457587
L0087,push_completion,call,9,answered,2026-01-28 01:24:41.460588
L0249,push_completion,call,9,answered,2026-01-28 01:24:41.461918
L0181,push_completion,call,9,missed,2026-01-28 01:24:41.461918
L0175,counsellor_followup,call,8,answered,2026-01-28 01:24:41.461918
L0079,counsellor_followup,call,8,answered,2026-01-28 01:24:41.461918
L0161,counsellor_followup,call,8,answered,2026-01-28 01:24:41.463431
L0244,counsellor_followup,call,8,missed,2026-01-28 01:24:41.463431
L0241,counsellor_followup,call,8,answered,2026-01-28 01:24:41.463431
L0183,counsellor_followup,call,8,answered,2026-01-28 01:24:41.464433
L0118,counsellor_followup,call,8,answered,2026-01-28 01:24:41.464944
L0083,counsellor_followup,call,8,missed,2026-01-28 01:24:41.464944
L0046,counsellor_followup,call,8,missed,2026-01-28 01:24:41.464944
L0008,counsellor_followup,call,8,answered,2026-01-28 01:24:41.465838
L0499,counsellor_followup,call,8,missed,2026-01-28 01:24:41.465838
L0486,counsellor_followup,call,8,answered,2026-01-28 01:24:41.465838
L0444,counsellor_followup,call,8,missed,2026-01-28 01:24:41.465838
L0460,counsellor_followup,call,8,missed,2026-01-28 01:24:41.466903
L0402,counsellor_followup,call,8,answered,2026-01-28 01:24:41.467903
L0396,counsellor_followup,call,8,missed,2026-01-28 01:24:41.467903
L0423,counsellor_followup,call,8,missed,2026-01-28 01:24:41.467903
L0442,counsellor_followup,call,8,answered,2026-01-28 01:24:41.467903
L0330,counsellor_followup,call,8,answered,2026-01-28 01:24:41.469348
L0328,counsellor_followup,call,8,missed,2026-01-28 01:24:41.469348
L0323,counsellor_followup,call,8,answered,2026-01-28 01:24:41.469348
L0325,counsellor_followup,call,8,answered,2026-01-28 01:24:41.470355
L0362,counsellor_followup,call,8,missed,2026-01-28 01:24:41.470355
L0371,counsellor_followup,call,8,answered,2026-01-28 01:24:41.471355
L0257,counsellor_followup,call,8,answered,2026-01-28 01:24:41.471355
L0275,counsellor_followup,call,8,missed,2026-01-28 01:24:41.472622
L0127,counsellor_followup,call,8,answered,2026-01-28 01:24:41.472622
L0177,counsellor_followup,call,8,answered,2026-01-28 01:24:41.475156
L0298,counsellor_followup,call,8,missed,2026-01-28 01:24:41.476157
L0277,counsellor_followup,call,8,missed,2026-01-28 01:24:41.476157
L0032,counsellor_followup,call,8,missed,2026-01-28 01:24:41.476157
L0023,counsellor_followup,call,8,answered,2026-01-28 01:24:41.477289
L0071,counsellor_followup,call,8,answered,2026-01-28 01:24:41.477289
L0092,counsellor_followup,call,8,answered,2026-01-28 01:24:41.477289
L0272,counsellor_followup,call,8,missed,2026-01-28 01:24:41.478652
L0274,counsellor_followup,call,8,answered,2026-01-28 01:24:41.478652
L0450,soft_reengagement,whatsapp,7,sent,2026-01-28 01:24:41.478652
L0167,soft_reengagement,whatsapp,7,sent,2026-01-28 01:24:41.479735
L0059,counsellor_followup,call,6,missed,2026-01-28 01:24:41.479735
L0054,counsellor_followup,call,6,missed,2026-01-28 01:24:41.479735
L0012,counsellor_followup,call,6,missed,2026-01-28 01:24:41.479735
L0205,counsellor_followup,call,6,answered,2026-01-28 01:24:41.479735
L0373,counsellor_followup,call,6,answered,2026-01-28 01:24:41.480806
L0345,counsellor_followup,call,6,missed,2026-01-28 01:24:41.480806
